,T,miosqp_avg,miosqp_std,miosqp_min,miosqp_max,miosqp_osqp_avg_time,miosqp_avg_osqp_iter
0,8,0.003482576608657837,0.0028799323002513923,0.0,0.020000696182250977,58.99830440008654,44.14618255100069
1,8,0.0036239734292030333,0.003004066980554188,0.0,0.021031856536865234,58.58111163334841,44.14618255100069
2,8,0.0037103669345378877,0.0030358966466789766,0.0,0.01999831199645996,57.45430008452891,44.14618255100069
3,8,0.0035473822057247163,0.002940740009807013,0.0,0.023001909255981445,58.630305407336294,44.14618255100069
4,8,0.0035979269444942476,0.0029556856259241805,0.0,0.0209658145904541,59.54597542047781,44.14618255100069
5,8,0.0036523588001728057,0.003045360178668192,0.0,0.020034074783325195,57.52343945763607,44.14618255100069
6,8,0.003531315326690674,0.0029165094035484536,0.0,0.019963741302490234,58.828723809607936,44.14618255100069
7,8,0.0038062022626399994,0.0031782189530889134,0.0,0.02196478843688965,58.19675723614321,44.14618255100069
8,8,0.0035312290489673613,0.0028890640184153983,0.0,0.020000219345092773,58.59544590043617,44.14618255100069
9,8,0.0035057653486728667,0.002879782504250703,0.0,0.020000219345092773,58.91861543691508,44.14618255100069
10,8,0.0034956264495849608,0.0028747789517972267,0.0,0.019966602325439453,58.87561740800183,44.14618255100069
11,8,0.003496212959289551,0.002868144402176264,0.0,0.020002126693725586,58.67932857168238,44.14618255100069
12,8,0.003506283909082413,0.0028705225883625305,0.0,0.01900029182434082,58.673910067905176,44.14618255100069
13,8,0.003494363576173782,0.0028850811466153707,0.0,0.018998384475708008,58.61278172477951,44.14618255100069
14,8,0.003505084365606308,0.0028729243956891796,0.0,0.02000260353088379,58.606260855900665,44.14618255100069
15,8,0.003566655516624451,0.0029486540925213658,0.0,0.020030975341796875,58.65940486822509,44.14618255100069
16,8,0.003664350211620331,0.00303401661774229,0.0,0.020001888275146484,57.87252195710983,44.14618255100069
17,8,0.0037004004418849947,0.003115428111957155,0.0,0.020039796829223633,58.26267261234556,44.14618255100069
18,8,0.00361699178814888,0.002977288356259498,0.0,0.021000146865844727,57.79668938466719,44.14618255100069
19,8,0.003619198203086853,0.0030427739349041263,0.0,0.019999980926513672,58.13860558425306,44.14618255100069
20,8,0.004015916585922241,0.0034058777937748053,0.0,0.02500176429748535,55.71772816923066,44.14618255100069
21,8,0.004637358635663986,0.0042405021439750135,0.0,0.032994985580444336,55.25140409992268,44.14618255100069
22,8,0.0035975797474384306,0.0029546763460942802,0.0,0.021001100540161133,58.104156463080194,44.14618255100069
23,8,0.003557474613189697,0.0029335605546593584,0.0,0.02003192901611328,57.86881055155787,44.14618255100069
24,8,0.0035648436844348905,0.00292107599681248,0.0,0.019962310791015625,58.26070207893574,44.14618255100069
25,8,0.003613054007291794,0.0029730330523906148,0.0,0.02100062370300293,58.58796034705437,44.14618255100069
26,8,0.0035649847984313963,0.002938450720195338,0.0,0.019997119903564453,58.391369694099446,44.14618255100069
27,8,0.0035723763704299926,0.002904711044124709,0.0,0.01996445655822754,58.12748514911052,44.14618255100069
28,8,0.0036324509978294373,0.0030421860368124317,0.0,0.019989728927612305,58.15789486872618,44.14618255100069
29,8,0.00360683873295784,0.003019153700199504,0.0,0.020002365112304688,58.271470045287714,44.14618255100069
30,8,0.0035679055750370025,0.0029470824928513185,0.0,0.01999974250793457,58.7737685981702,44.14618255100069
31,8,0.003583800047636032,0.002938368809908649,0.0,0.020000219345092773,58.55808087475444,44.14618255100069
32,8,0.0036079169809818267,0.002992851048344139,0.0,0.020009279251098633,58.228580800171564,44.14618255100069
33,8,0.0035698413848876953,0.0029289364548996453,0.0,0.019998550415039062,58.022260645652544,44.14618255100069
34,8,0.0035688354074954985,0.002933978179913669,0.0,0.02003312110900879,58.34199965058976,44.14618255100069
35,8,0.0035423026978969574,0.0028976312139715747,0.0,0.019999980926513672,58.47044901152852,44.14618255100069
36,8,0.0035485486686229707,0.0029442334262529037,0.0,0.02000260353088379,58.02290795563763,44.14618255100069
37,8,0.003926107883453369,0.0037262681914362957,0.0,0.0390017032623291,57.29096793769334,44.14618255100069
38,8,0.0037316153943538666,0.003049932472063699,0.0,0.0199887752532959,57.14185506294792,44.14618255100069
39,8,0.003695904016494751,0.0030728083309773647,0.0,0.025998353958129883,57.30437664216798,44.14618255100069
40,8,0.0036759914457798,0.0030183541429048737,0.0,0.02096414566040039,59.75900794453606,44.14618255100069
41,8,0.003516343832015991,0.002876031409648875,0.0,0.019967079162597656,58.78169140733747,44.14618255100069
42,8,0.0035286346077919007,0.002886109442307055,0.0,0.019960880279541016,58.37499553505642,44.14618255100069
43,8,0.0035407328605651855,0.0029019529423734876,0.0,0.019998550415039062,57.63191203163523,44.14618255100069
44,8,0.0035030350089073183,0.002889387474845087,0.0,0.02003931999206543,58.57319978745411,44.14618255100069
45,8,0.0035236389935016633,0.0029097861933522215,0.0,0.025998830795288086,58.176001040466154,44.14618255100069
46,8,0.003517490476369858,0.0028807328626242294,0.0,0.01999974250793457,58.486276297650946,44.14618255100069
47,8,0.0036336524784564973,0.003012936367432627,0.0,0.019998550415039062,58.09444934285595,44.14618255100069
48,8,0.0035496601462364197,0.0029285915306442112,0.0,0.020999908447265625,58.45530073578935,44.14618255100069
49,8,0.003487023413181305,0.002877762701462072,0.0,0.02000284194946289,58.75709350921043,44.14618255100069
